District,Party,Votes
Telemark,Arbeiderpartiet,29883
Telemark,Feministisk Initiativ,0
Telemark,Folkeaksjonen Nei til mer bompenger,87
Telemark,Fremskrittspartiet,12297
Telemark,Generasjonspartiet,0
Telemark,Hoeyre,15198
Telemark,Helsepartiet,193
Telemark,Industri- og Naeringspartiet,596
Telemark,Konservativt,631
Telemark,Kristelig Folkeparti,4327
Telemark,Kystpartiet,0
Telemark,Liberalistene,110
Telemark,Miljoepartiet De Groenne,2729
Telemark,Norges Kommunistiske Parti,0
Telemark,Norgesdemokratene,1379
Telemark,Partiet Sentrum,263
Telemark,Pasientfokus,0
Telemark,Pensjonistpartiet,419
Telemark,Piratpartiet,85
Telemark,Roedt,4506
Telemark,Redd Naturen,0
Telemark,Senterpartiet,15963
Telemark,SV - Sosialistisk Venstreparti,5934
Telemark,Venstre,2203
Troms,Alliansen - Alternativ for Norge,66
Troms,Arbeiderpartiet,25168
Troms,Feministisk Initiativ,0
Troms,Folkeaksjonen Nei til mer bompenger,130
Troms,Fremskrittspartiet,12998
Troms,Generasjonspartiet,0
Troms,Hoeyre,12493
Troms,Helsepartiet,225
Troms,Industri- og Naeringspartiet,319
Troms,Konservativt,186
Troms,Kristelig Folkeparti,2062
Troms,Kystpartiet,0
Troms,Liberalistene,187
Troms,Miljoepartiet De Groenne,2768
Troms,Norges Kommunistiske Parti,0
Troms,Norgesdemokratene,1370
Troms,Partiet Sentrum,175
Troms,Pasientfokus,0
Troms,Pensjonistpartiet,0
Troms,Piratpartiet,83
Troms,Roedt,4455
Troms,Redd Naturen,0
Troms,Senterpartiet,17698
Troms,SV - Sosialistisk Venstreparti,10029
Troms,Venstre,2298
Vest-Agder,Alliansen - Alternativ for Norge,53
Vest-Agder,Arbeiderpartiet,21845
Vest-Agder,Feministisk Initiativ,0
Vest-Agder,Folkeaksjonen Nei til mer bompenger,62
Vest-Agder,Fremskrittspartiet,13821
Vest-Agder,Generasjonspartiet,0
Vest-Agder,Hoeyre,22359
Vest-Agder,Helsepartiet,167
Vest-Agder,Industri- og Naeringspartiet,360
Vest-Agder,Konservativt,969
Vest-Agder,Kristelig Folkeparti,14598
Vest-Agder,Kystpartiet,0
Vest-Agder,Liberalistene,164
Vest-Agder,Miljoepartiet De Groenne,3330
Vest-Agder,Norges Kommunistiske Parti,0
Vest-Agder,Norgesdemokratene,2709
Vest-Agder,Partiet Sentrum,478
Vest-Agder,Pasientfokus,0
Vest-Agder,Pensjonistpartiet,492
Vest-Agder,Piratpartiet,164
Vest-Agder,Roedt,3355
Vest-Agder,Redd Naturen,0
Vest-Agder,Senterpartiet,10859
Vest-Agder,SV - Sosialistisk Venstreparti,5615
Vest-Agder,Venstre,3834
Vestfold,Alliansen - Alternativ for Norge,146
Vestfold,Arbeiderpartiet,37518
Vestfold,Feministisk Initiativ,0
Vestfold,Folkeaksjonen Nei til mer bompenger,71
Vestfold,Fremskrittspartiet,17271
Vestfold,Generasjonspartiet,0
Vestfold,Hoeyre,34831
Vestfold,Helsepartiet,383
Vestfold,Industri- og Naeringspartiet,403
Vestfold,Konservativt,662
Vestfold,Kristelig Folkeparti,4861
Vestfold,Kystpartiet,0
Vestfold,Liberalistene,198
Vestfold,Miljoepartiet De Groenne,5428
Vestfold,Norges Kommunistiske Parti,0
Vestfold,Norgesdemokratene,1826
Vestfold,Partiet Sentrum,381
Vestfold,Pasientfokus,0
Vestfold,Pensjonistpartiet,562
Vestfold,Piratpartiet,125
Vestfold,Roedt,6155
Vestfold,Redd Naturen,0
Vestfold,Senterpartiet,13775
